AI_Q1,AI_Q1_ID,AI_Q2,AI_Q2_ID,AI_Q3,AI_Q3_ID,AI_Q4,AI_Q4_ID,AI_Q5,AI_Q5_ID,AI_Q6,AI_Q6_ID,HU_Q1,HU_Q1_ID,HU_Q2,HU_Q2_ID,HU_Q3,HU_Q3_ID,HU_Q4,HU_Q4_ID,HU_Q5,HU_Q5_ID,HU_Q6,HU_Q6_ID
2,-42,1,-1327,2,-127,1,-48,2,-1261,1,-36,1,1117,1,830,1,1078,1,386,2,908,2,236
2,-1156,1,-209,2,-268,1,-1164,1,-193,1,-747,1,1381,1,348,1,1000,1,169,2,1475,2,772
1,-933,2,-609,1,-1239,2,-1171,1,-351,2,-240,2,52,1,401,1,641,2,866,1,1377,1,503
2,-200,1,-28,2,-561,1,-248,2,-380,2,-205,1,1314,1,165,1,886,2,1462,2,774,2,904
2,-1430,1,-521,1,-375,2,-1118,1,-375,2,-865,1,862,1,1050,1,203,1,785,1,300,1,911
2,-506,2,-624,2,-1121,2,-555,2,-845,2,-1293,1,1343,1,1204,1,175,1,599,2,101,1,352
2,-963,1,-556,2,-521,2,-780,1,-1044,1,-491,2,610,1,707,4,799,1,1226,2,1441,2,1388
1,-64,2,-1409,2,-1476,1,-855,1,-1156,2,-241,1,283,2,1267,1,1053,2,314,2,511,2,905
1,-419,2,-490,1,-1065,2,-688,1,-239,2,-788,1,1132,1,587,4,611,2,247,2,216,2,112
1,-257,2,-1268,1,-661,2,-1070,1,-1080,2,-1140,1,904,1,566,4,66,1,507,2,1397,2,1028
1,-866,1,-344,2,-373,1,-1367,1,-1268,2,-1239,2,1474,1,432,4,942,2,879,1,432,1,1224
2,-1301,2,-798,1,-1380,2,-232,1,-309,1,-1457,1,292,2,655,1,1315,2,107,2,1161,2,1418
1,-165,2,-76,2,-1098,2,-628,1,-600,1,-936,2,352,1,1401,1,777,1,955,2,16,2,1012
1,-253,2,-555,1,-1454,2,-835,2,-968,1,-1201,1,1048,1,427,4,454,2,46,2,841,1,111
2,-113,1,-930,1,-674,1,-128,1,-1446,1,-81,2,814,1,266,4,1073,2,1092,2,638,2,1422
1,-38,1,-440,1,-209,2,-409,2,-26,1,-606,1,497,2,938,1,49,2,1471,2,434,1,579
2,-632,1,-1300,2,-654,1,-106,1,-202,2,-370,1,1044,1,745,4,1447,2,251,2,394,2,544
1,-1097,1,-232,2,-484,1,-1325,1,-763,1,-530,1,265,1,38,1,1424,1,789,1,726,1,1306
2,-228,2,-1058,2,-577,1,-678,2,-386,1,-905,1,650,1,1442,4,1454,2,321,1,1465,2,38
2,-1251,1,-527,2,-600,1,-1455,2,-297,1,-939,2,255,1,906,1,713,2,27,1,535,2,1264
1,-1109,2,-968,2,-330,2,-845,1,-930,2,-1476,1,748,2,577,1,317,2,897,2,1153,2,310
2,-996,1,-167,1,-1336,2,-538,1,-788,2,-575,2,1082,1,1091,1,712,1,349,1,29,2,1081
2,-1325,1,-530,1,-670,1,-615,1,-1230,1,-1254,2,1162,2,372,1,357,2,7,1,408,1,309
2,-663,1,-485,1,-727,1,-25,1,-1080,1,-1182,1,662,1,12,1,525,1,945,2,713,1,1340
2,-78,2,-762,2,-668,2,-692,2,-181,1,-68,2,679,2,335,1,851,1,281,2,858,1,724
2,-725,2,-1307,2,-1365,1,-728,1,-1330,2,-566,1,297,2,1499,4,265,2,246,2,77,1,1381
2,-467,1,-1207,1,-803,1,-906,2,-493,2,-162,1,1293,1,604,1,1450,2,201,1,605,1,1325
2,-1183,2,-290,2,-330,2,-190,1,-63,1,-512,1,1033,2,1367,4,633,1,735,1,1390,1,1340
1,-677,1,-201,1,-839,2,-27,2,-914,2,-857,1,1317,2,525,4,169,2,1474,2,1393,2,603
1,-544,1,-1479,1,-372,1,-1333,2,-985,1,-552,2,118,1,619,4,33,2,1227,2,738,1,644
2,-593,1,-188,2,-682,2,-389,2,-125,2,-267,1,980,1,947,1,113,1,877,1,1197,2,339
2,-1339,1,-157,1,-1121,1,-529,2,-984,1,-1281,2,914,2,602,1,894,2,197,2,581,1,1183
2,-1244,2,-473,1,-1050,1,-100,1,-126,2,-899,2,158,1,1342,1,437,2,937,1,298,2,447
1,-75,2,-546,2,-527,1,-1239,2,-498,2,-767,2,462,1,556,4,245,2,19,2,647,2,655
1,-567,2,-1033,2,-405,2,-1244,2,-501,1,-509,1,485,2,510,1,29,2,332,2,771,1,87
2,-424,1,-26,2,-1219,2,-289,1,-1289,2,-1128,2,257,1,609,4,969,1,210,2,1289,2,428
1,-725,2,-1457,1,-447,1,-855,2,-1198,1,-1355,1,966,1,1110,1,1438,1,404,2,494,2,360
2,-373,2,-1136,1,-1092,2,-86,2,-1262,1,-964,2,655,1,228,4,1362,2,327,2,1280,2,1159
2,-1177,2,-231,1,-1348,1,-1154,2,-578,1,-415,2,1046,2,125,4,125,1,90,2,1421,2,1440
2,-1002,1,-1453,1,-821,1,-992,2,-231,1,-129,1,592,1,320,4,877,2,1307,2,965,2,507
1,-825,2,-1255,2,-549,1,-329,2,-566,1,-91,2,781,1,1276,1,548,1,1400,2,1296,2,808
2,-1471,1,-1269,1,-220,2,-536,1,-1079,2,-325,1,1065,1,372,4,601,1,1150,1,734,2,265
2,-964,2,-324,1,-1121,2,-12,1,-876,2,-1065,1,869,1,386,1,1471,1,1447,1,857,2,45
2,-1057,1,-1487,2,-1276,2,-1044,1,-363,1,-738,2,392,2,99,1,1189,2,756,2,1248,2,52
